event,event_latitude,event_longitude,event_document,event_importance,event_date,event_source_name
KILL,25.5,90.3333,['https://www.business-standard.com/article/current-affairs/meghalaya-coronavirus-update-state-reports-123-covid-19-cases-tally-7-261-120100801731_1.html'],['60'],[20201009021500],['business-standard.com']
KILL,25.7743,-80.1937,"['https://listenupyall.com/2020/10/08/trump-biden-teams-debate-debate-virtual-or-not-next-week/', 'https://www.heraldmailmedia.com/news/nation/witness-police-fired-first-bullet-in-wild-florida-shootout-that-killed-4-last-year/article_c1dc2f13-6441-5b0b-ac5d-2e1f17241035.html']","['210', '2']","[20201009004500, 20201009001500]","['listenupyall.com', 'heraldmailmedia.com']"
KILL,26.0,50.5,['https://www.newsofbahrain.com/bahrain/66811.html'],['2'],[20201009040000],['newsofbahrain.com']
KILL,26.3337,-98.2003,['https://www.themonitor.com/2020/10/08/michigan-man-turns-self-face-charges-03-fatal-drunk-driving-crash/'],['19'],[20201009001500],['themonitor.com']
KILL,27.4817,94.9028,['https://www.business-standard.com/article/current-affairs/assam-coronavirus-update-toll-mounts-to-794-with-nine-more-fatalities-120100900026_1.html'],['19'],[20201009021500],['business-standard.com']
KILL,27.765,-82.5825,['https://wusfnews.wusf.usf.edu/health-news-florida/2020-10-08/latest-covid-19-numbers-highest-in-weeks-for-florida-tampa-bay-counties'],['170'],[20201009054500],['usf.edu']
KILL,27.8,95.4667,['https://theprint.in/opinion/china-has-taken-lac-clock-back-to-1959-india-not-in-a-position-to-take-back-aksai-chin/519101/'],['9'],[20201009021500],['theprint.in']
KILL,27.8333,-81.717,['https://www.salemnews.com/news/lifestyles/young-whales-flock-to-waters-off-nyc/article_0992ad31-b2ec-5dc1-85f3-cebc24ae204a.html'],['133'],[20201009054500],['salemnews.com']
KILL,28.0,3.0,['http://www.china.org.cn/world/Off_the_Wire/2020-10/09/content_76787331.htm'],['4'],[20201009004500],['china.org.cn']
KILL,28.0,84.0,['https://naija247news.com/2020/10/09/one-stillbirth-occurs-every-16-seconds-according-to-first-ever-joint-un-estimates/'],['39'],[20201009053000],['naija247news.com']
